
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
82:2A:A8:81:96:70, 2017-10-17 11:21:57, 2017-10-17 11:21:57, 11,  54, WPA2, CCMP,PSK, -89,        2,        0,   0.  0.  0.  0,  23, I Believe Wi-fi Can Fly, 
BC:2E:48:E4:BE:FB, 2017-10-17 11:21:53, 2017-10-17 11:21:53,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -88,        3,        0,   0.  0.  0.  0,  13, Tonesnetwork1, 
10:0D:7F:DB:83:C0, 2017-10-17 11:21:57, 2017-10-17 11:21:57, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -88,        1,        0,   0.  0.  0.  0,   6, DB83C0, 
AC:E0:10:F4:DC:EA, 2017-10-17 11:21:57, 2017-10-17 11:21:57,  6,  54, WPA2, CCMP,PSK, -88,        1,        0,   0.  0.  0.  0,  22, \x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00, 
DC:EF:09:B4:58:37, 2017-10-17 11:21:56, 2017-10-17 11:21:56,  9,  54, WPA2, CCMP,PSK, -86,        2,        0,   0.  0.  0.  0,   9, NETGEAR38, 
D8:50:E6:59:74:A0, 2017-10-17 11:21:57, 2017-10-17 11:21:57,  6,  54, WPA2, CCMP,PSK, -86,        1,        0,   0.  0.  0.  0,  15, The Berry House, 
00:8E:F2:B0:DC:DD, 2017-10-17 11:21:53, 2017-10-17 11:21:54,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -85,        2,        6,   0.  0.  0.  0,  10, Penny Bank, 
B0:7F:B9:F3:F5:0B, 2017-10-17 11:21:53, 2017-10-17 11:21:53,  1,  54, WPA2, CCMP,PSK, -84,        3,        0,   0.  0.  0.  0,   9, Capronlee, 
40:8B:07:42:CA:A8, 2017-10-17 11:21:57, 2017-10-17 11:21:58,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -82,        2,        1,   0.  0.  0.  0,  15, CenturyLink2853, 
70:8B:CD:CA:3E:29, 2017-10-17 11:21:54, 2017-10-17 11:21:55,  8,  54, WPA2, CCMP,PSK, -81,        3,        7,   0.  0.  0.  0,  15, URBANMIX_Guest1, 
70:8B:CD:CA:3E:28, 2017-10-17 11:21:54, 2017-10-17 11:21:56,  8,  54, WPA2, CCMP,PSK, -81,        5,        2,   0.  0.  0.  0,   8, URBANMIX, 
82:2A:A8:81:90:CA, 2017-10-17 11:21:57, 2017-10-17 11:21:57,  6,  54, WPA2, CCMP,PSK, -81,        1,        2,   0.  0.  0.  0,  23, I Believe Wi-fi Can Fly, 
84:1B:5E:DA:14:8C, 2017-10-17 11:21:53, 2017-10-17 11:22:03, 11,  54, WPA2, CCMP,PSK, -81,       26,        1,   0.  0.  0.  0,   9, Pinky Sou, 
10:0D:7F:DE:B8:BB, 2017-10-17 11:21:53, 2017-10-17 11:21:53,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -79,        3,        0,   0.  0.  0.  0,   6, DEB8BB, 
F4:0E:83:D9:A0:2E, 2017-10-17 11:21:54, 2017-10-17 11:21:57,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -78,        3,        0,   0.  0.  0.  0,   6, D9A02E, 
80:2A:A8:81:90:CA, 2017-10-17 11:21:57, 2017-10-17 11:21:57,  6,  54, WPA2, CCMP,PSK, -78,        4,        0,   0.  0.  0.  0,  15, Abraham Linksys, 
A0:63:91:EE:02:E3, 2017-10-17 11:21:55, 2017-10-17 11:21:57,  4,  54, WPA2, CCMP,PSK, -77,        9,        0,   0.  0.  0.  0,   9, NETGEAR48, 
1C:74:0D:2E:C5:C3, 2017-10-17 11:21:56, 2017-10-17 11:22:03, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -77,       44,        0,   0.  0.  0.  0,  15, CenturyLink6735, 
B2:B2:DC:83:44:A4, 2017-10-17 11:21:53, 2017-10-17 11:22:03, 11,  54, WPA2, CCMP TKIP,PSK, -77,       33,        1,   0.  0.  0.  0,  15, CenturyLink8925, 
38:70:0C:10:7F:3D, 2017-10-17 11:21:56, 2017-10-17 11:22:03, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -76,       34,        0,   0.  0.  0.  0,   6, 107F3D, 
A0:63:91:5B:8D:13, 2017-10-17 11:21:53, 2017-10-17 11:21:55,  1,  54, WPA2, CCMP,PSK, -68,        5,        0,   0.  0.  0.  0,   9, NETGEAR22, 
6A:37:E9:A9:A8:B6, 2017-10-17 11:21:53, 2017-10-17 11:21:53,  1,  54, WPA2, CCMP,PSK, -65,        3,        0,   0.  0.  0.  0,  21, \x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00, 
6A:37:E9:1E:E4:97, 2017-10-17 11:21:53, 2017-10-17 11:21:53,  1,  54, WPA2, CCMP,PSK, -65,        2,        0,   0.  0.  0.  0,  21, \x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00, 
34:97:F6:5F:8D:38, 2017-10-17 11:21:54, 2017-10-17 11:21:56,  3,  54, WPA2, CCMP,PSK, -44,        9,       66,   0.  0.  0.  0,   7, Nibbler, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
84:98:66:78:08:0B, 2017-10-17 11:21:53, 2017-10-17 11:21:53, -90,        2, 00:8E:F2:B0:DC:DD,
34:4D:F7:2C:DF:6D, 2017-10-17 11:21:57, 2017-10-17 11:21:57, -90,        2, (not associated) ,
BC:30:7D:29:CA:3D, 2017-10-17 11:21:57, 2017-10-17 11:22:00, -86,        9, B2:B2:DC:83:44:A4,
18:0C:AC:04:FB:8D, 2017-10-17 11:21:55, 2017-10-17 11:22:03, -82,       14, (not associated) ,westell2227
54:35:30:D9:62:8A, 2017-10-17 11:21:55, 2017-10-17 11:21:55, -10,       65, 34:97:F6:5F:8D:38,
DA:A1:19:34:79:18, 2017-10-17 11:22:01, 2017-10-17 11:22:01, -63,        5, (not associated) ,

