# SSID              | KEY                                    | BSSID             | MAC filter
I Believe Wi-fi Can Fly| Got WPA handshake                      | 82:2a:a8:81:90:ca | 
NETGEAR22           | Got WPA handshake                      | a0:63:91:5b:8d:13 | 
DEB8BB              | Got WPA handshake                      | 10:0d:7f:de:b8:bb | 
Penny Bank          | Got WPA handshake                      | 00:8e:f2:b0:dc:dd | 
Nibbler             | Got WPA handshake                      | 34:97:f6:5f:8d:38 | 
Abraham Linksys     | Got WPA handshake                      | 80:2a:a8:81:90:ca | 
NETGEAR28           | Got WPA handshake                      | c4:04:15:3c:01:e7 | 
107F3D              | Got WPA handshake                      | 38:70:0c:10:7f:3d | 
PN0WXT9I            | Got WPA handshake                      | b0:7f:b9:fe:20:d6 | 
Abraham Linksys     | Got WPA handshake                      | 80:2a:a8:81:96:70 | 
Tonesnetwork1       | Got WPA handshake                      | bc:2e:48:e4:be:fb | 
BrightZebra         | Got WPA handshake                      | 14:91:82:fe:6c:c4 | 
CenturyLink2853     | Got WPA handshake                      | 40:8b:07:42:ca:a8 | 
Pinky Sou           | Got WPA handshake                      | 84:1b:5e:da:14:8c | 
serenade            | Got WPA handshake                      | c8:d7:19:3e:6c:bb | 
Gelatology          | Got WPA handshake                      | 10:5f:06:1f:69:b5 | 
