# SSID              | KEY                                    | BSSID             | MAC filter
Nibbler             | Got WPA handshake                      | 34:97:f6:5f:8d:38 | 
NETGEAR22           | Got WPA handshake                      | a0:63:91:5b:8d:13 | 
2A07EE              | Got WPA handshake                      | 10:da:43:2a:07:ee | 
Capronlee           | Got WPA handshake                      | b0:7f:b9:f3:f5:0b | 
# SSID              | KEY                                    | BSSID             | MAC filter
NETGEAR22           | Got WPA handshake                      | a0:63:91:5b:8d:13 | 
Nibbler             | Got WPA handshake                      | 34:97:f6:5f:8d:38 | 
107F3D              | Got WPA handshake                      | 38:70:0c:10:7f:3d | 
Penny Bank          | Got WPA handshake                      | 00:8e:f2:b0:dc:dd | 
DEB8BB              | Got WPA handshake                      | 10:0d:7f:de:b8:bb | 
Pinky Sou           | Got WPA handshake                      | 84:1b:5e:da:14:8c | 
Capronlee           | Got WPA handshake                      | b0:7f:b9:f3:f5:0b | 
CenturyLink8925     | Got WPA handshake                      | b2:b2:dc:83:44:a4 | 
